id,name,club,year,page,region_for_year,points,elo,tournaments,regions_seen,region_by_year_full,last_seen_region,last_seen_year,last_seen_page
17,Крёстный Отец,,2022,1,central,0,2748,0,central,"{""2022"": ""central"", ""2024"": ""central""}",central,2024,1
17,Крёстный Отец,,2023,1,,,,,central,"{""2022"": ""central"", ""2024"": ""central""}",central,2024,1
17,Крёстный Отец,,2024,1,central,303,2748,27,central,"{""2022"": ""central"", ""2024"": ""central""}",central,2024,1
17,Крёстный Отец,,2025,1,,,,,central,"{""2022"": ""central"", ""2024"": ""central""}",central,2024,1
18,M. Bellucci,,2022,1,central,0,1590,0,central,"{""2022"": ""central""}",central,2022,1
18,M. Bellucci,,2023,1,,,,,central,"{""2022"": ""central""}",central,2022,1
18,M. Bellucci,,2024,1,,,,,central,"{""2022"": ""central""}",central,2022,1
18,M. Bellucci,,2025,1,,,,,central,"{""2022"": ""central""}",central,2022,1
20,Адвокат,,2022,1,central,0,2520,0,central,"{""2022"": ""central""}",central,2022,1
20,Адвокат,,2023,1,,,,,central,"{""2022"": ""central""}",central,2022,1
20,Адвокат,,2024,1,,,,,central,"{""2022"": ""central""}",central,2022,1
20,Адвокат,,2025,1,,,,,central,"{""2022"": ""central""}",central,2022,1
24,Декстер,,2022,1,central,0,1473,0,central,"{""2022"": ""central""}",central,2022,1
24,Декстер,,2023,1,,,,,central,"{""2022"": ""central""}",central,2022,1
24,Декстер,,2024,1,,,,,central,"{""2022"": ""central""}",central,2022,1
24,Декстер,,2025,1,,,,,central,"{""2022"": ""central""}",central,2022,1
26,sluggy,,2022,1,central,0,1000,0,central,"{""2022"": ""central""}",central,2022,1
26,sluggy,,2023,1,,,,,central,"{""2022"": ""central""}",central,2022,1
26,sluggy,,2024,1,,,,,central,"{""2022"": ""central""}",central,2022,1
26,sluggy,,2025,1,,,,,central,"{""2022"": ""central""}",central,2022,1
1072,Берлускони,,2022,1,,,,,central,"{""2023"": ""central""}",central,2023,1
1072,Берлускони,,2023,1,central,309,2727,29,central,"{""2023"": ""central""}",central,2023,1
1072,Берлускони,,2024,1,,,,,central,"{""2023"": ""central""}",central,2023,1
1072,Берлускони,,2025,1,,,,,central,"{""2023"": ""central""}",central,2023,1
258,Флай,,2022,1,,,,,central,"{""2024"": ""central""}",central,2024,1
258,Флай,,2023,1,,,,,central,"{""2024"": ""central""}",central,2024,1
258,Флай,,2024,1,central,299,2789,34,central,"{""2024"": ""central""}",central,2024,1
